"genero","posicion","nombre","id_pelicula"
"INF","1","El rey león  (1994)   ","https://www.filmaffinity.com/es/film419029.html"
"INF","2","Toy Story 3  (2010)   ","https://www.filmaffinity.com/es/film612761.html"
"INF","3","Up  (2009)   ","https://www.filmaffinity.com/es/film777460.html"
"INF","4","WALL•E  (2008)   ","https://www.filmaffinity.com/es/film744679.html"
"INF","5","Toy Story  (1995)   ","https://www.filmaffinity.com/es/film459936.html"
"INF","6","Mi vecino Totoro  (1988)   ","https://www.filmaffinity.com/es/film646631.html"
"INF","7","El globo rojo  (1956)   ","https://www.filmaffinity.com/es/film995259.html"
"INF","8","Monstruos, S.A.  (2001)   ","https://www.filmaffinity.com/es/film265575.html"
"INF","9","La canción del mar  (2014)   ","https://www.filmaffinity.com/es/film696917.html"
"INF","10","Buscando a Nemo  (2003)   ","https://www.filmaffinity.com/es/film479365.html"
"INF","11","Ernest & Célestine  (2012)   ","https://www.filmaffinity.com/es/film973627.html"
"INF","12","Trapito  (1975)   ","https://www.filmaffinity.com/es/film729656.html"
"INF","13","Aladdin  (1992)   ","https://www.filmaffinity.com/es/film800220.html"
"INF","14","Fantasía  (1940)   ","https://www.filmaffinity.com/es/film565874.html"
"INF","15","Ponyo en el acantilado  (2008)   ","https://www.filmaffinity.com/es/film576841.html"
"INF","16","Ratatouille  (2007)   ","https://www.filmaffinity.com/es/film496720.html"
"INF","17","La bella y la bestia  (1991)   ","https://www.filmaffinity.com/es/film966887.html"
"INF","18","Mr. Dough and the Egg Princess (C) (2010)   ","https://www.filmaffinity.com/es/film386178.html"
"INF","19","Fantástica aventura  (1977)   ","https://www.filmaffinity.com/es/film593138.html"
"INF","20","La edad de hielo (Ice Age)  (2002)   ","https://www.filmaffinity.com/es/film221296.html"
"INF","21","Cómo entrenar a tu dragón  (2010)   ","https://www.filmaffinity.com/es/film992704.html"
"INF","22","El libro de la selva  (1967)   ","https://www.filmaffinity.com/es/film607008.html"
"INF","23","Arrietty y el mundo de los diminutos  (2010)   ","https://www.filmaffinity.com/es/film137389.html"
"INF","24","El gigante de hierro  (1999)   ","https://www.filmaffinity.com/es/film936434.html"
"INF","25","El rey y el ruiseñor (Le Roi et l'oiseau)  (1979)   ","https://www.filmaffinity.com/es/film151782.html"
"INF","26","El niño y el mundo  (2013)   ","https://www.filmaffinity.com/es/film298900.html"
"INF","27","El vuelo de los dragones  (1982)   ","https://www.filmaffinity.com/es/film529486.html"
"INF","28","Mary Poppins  (1964)   ","https://www.filmaffinity.com/es/film213137.html"
"INF","29","Zootrópolis  (2016)   ","https://www.filmaffinity.com/es/film637729.html"
"INF","30","Toy Story 4  (2019)   ","https://www.filmaffinity.com/es/film160410.html"
"INT","1","Doce hombres sin piedad  (1957)   ","https://www.filmaffinity.com/es/film695552.html"
"INT","2","Testigo de cargo  (1957)   ","https://www.filmaffinity.com/es/film667376.html"
"INT","3","El golpe  (1973)   ","https://www.filmaffinity.com/es/film385464.html"
